System,Run,FailureTime
Power Grid AI,1,1
Power Grid AI,2,1
Power Grid AI,3,1
Power Grid AI,4,1
Power Grid AI,5,1
Power Grid AI,6,1
Power Grid AI,7,1
Power Grid AI,8,1
Power Grid AI,9,1
Power Grid AI,10,1
Power Grid AI,11,1
Power Grid AI,12,1
Power Grid AI,13,1
Power Grid AI,14,1
Power Grid AI,15,1
Power Grid AI,16,1
Power Grid AI,17,1
Power Grid AI,18,1
Power Grid AI,19,1
Power Grid AI,20,1
Power Grid AI,21,1
Power Grid AI,22,1
Power Grid AI,23,1
Power Grid AI,24,1
Power Grid AI,25,1
Power Grid AI,26,1
Power Grid AI,27,1
Power Grid AI,28,1
Power Grid AI,29,1
Power Grid AI,30,1
Power Grid AI,31,1
Power Grid AI,32,1
Power Grid AI,33,1
Power Grid AI,34,1
Power Grid AI,35,1
Power Grid AI,36,1
Power Grid AI,37,1
Power Grid AI,38,1
Power Grid AI,39,1
Power Grid AI,40,1
Power Grid AI,41,1
Power Grid AI,42,1
Power Grid AI,43,1
Power Grid AI,44,1
Power Grid AI,45,1
Power Grid AI,46,1
Power Grid AI,47,1
Power Grid AI,48,1
Power Grid AI,49,1
Power Grid AI,50,1
Power Grid AI,51,1
Power Grid AI,52,1
Power Grid AI,53,1
Power Grid AI,54,1
Power Grid AI,55,1
Power Grid AI,56,1
Power Grid AI,57,1
Power Grid AI,58,1
Power Grid AI,59,1
Power Grid AI,60,1
Power Grid AI,61,1
Power Grid AI,62,1
Power Grid AI,63,1
Power Grid AI,64,1
Power Grid AI,65,1
Power Grid AI,66,1
Power Grid AI,67,1
Power Grid AI,68,1
Power Grid AI,69,1
Power Grid AI,70,1
Power Grid AI,71,1
Power Grid AI,72,1
Power Grid AI,73,1
Power Grid AI,74,1
Power Grid AI,75,1
Power Grid AI,76,1
Power Grid AI,77,1
Power Grid AI,78,1
Power Grid AI,79,1
Power Grid AI,80,1
Power Grid AI,81,1
Power Grid AI,82,1
Power Grid AI,83,1
Power Grid AI,84,1
Power Grid AI,85,1
Power Grid AI,86,1
Power Grid AI,87,1
Power Grid AI,88,1
Power Grid AI,89,1
Power Grid AI,90,1
Power Grid AI,91,1
Power Grid AI,92,1
Power Grid AI,93,1
Power Grid AI,94,1
Power Grid AI,95,1
Power Grid AI,96,1
Power Grid AI,97,1
Power Grid AI,98,1
Power Grid AI,99,1
Power Grid AI,100,1
Internet Backbone AI,1,15
Internet Backbone AI,2,9
Internet Backbone AI,3,17
Internet Backbone AI,4,14
Internet Backbone AI,5,8
Internet Backbone AI,6,17
Internet Backbone AI,7,20
Internet Backbone AI,8,15
Internet Backbone AI,9,18
Internet Backbone AI,10,8
Internet Backbone AI,11,14
Internet Backbone AI,12,7
Internet Backbone AI,13,14
Internet Backbone AI,14,5
Internet Backbone AI,15,5
Internet Backbone AI,16,13
Internet Backbone AI,17,17
Internet Backbone AI,18,5
Internet Backbone AI,19,11
Internet Backbone AI,20,13
Internet Backbone AI,21,14
Internet Backbone AI,22,12
Internet Backbone AI,23,15
Internet Backbone AI,24,10
Internet Backbone AI,25,5
Internet Backbone AI,26,19
Internet Backbone AI,27,9
Internet Backbone AI,28,20
Internet Backbone AI,29,21
Internet Backbone AI,30,10
Internet Backbone AI,31,8
Internet Backbone AI,32,20
Internet Backbone AI,33,8
Internet Backbone AI,34,4
Internet Backbone AI,35,10
Internet Backbone AI,36,18
Internet Backbone AI,37,14
Internet Backbone AI,38,9
Internet Backbone AI,39,4
Internet Backbone AI,40,4
Internet Backbone AI,41,7
Internet Backbone AI,42,21
Internet Backbone AI,43,11
Internet Backbone AI,44,20
Internet Backbone AI,45,18
Internet Backbone AI,46,6
Internet Backbone AI,47,14
Internet Backbone AI,48,7
Internet Backbone AI,49,11
Internet Backbone AI,50,6
Internet Backbone AI,51,14
Internet Backbone AI,52,16
Internet Backbone AI,53,12
Internet Backbone AI,54,6
Internet Backbone AI,55,10
Internet Backbone AI,56,16
Internet Backbone AI,57,19
Internet Backbone AI,58,10
Internet Backbone AI,59,11
Internet Backbone AI,60,7
Internet Backbone AI,61,17
Internet Backbone AI,62,10
Internet Backbone AI,63,18
Internet Backbone AI,64,16
Internet Backbone AI,65,6
Internet Backbone AI,66,5
Internet Backbone AI,67,7
Internet Backbone AI,68,4
Internet Backbone AI,69,6
Internet Backbone AI,70,16
Internet Backbone AI,71,4
Internet Backbone AI,72,16
Internet Backbone AI,73,17
Internet Backbone AI,74,18
Internet Backbone AI,75,18
Internet Backbone AI,76,17
Internet Backbone AI,77,19
Internet Backbone AI,78,7
Internet Backbone AI,79,6
Internet Backbone AI,80,11
Internet Backbone AI,81,20
Internet Backbone AI,82,10
Internet Backbone AI,83,9
Internet Backbone AI,84,21
Internet Backbone AI,85,21
Smart Water Utility,1,17
Smart Water Utility,2,6
Smart Water Utility,3,18
Smart Water Utility,4,9
Smart Water Utility,5,20
Smart Water Utility,6,4
Smart Water Utility,7,7
Smart Water Utility,8,20
Smart Water Utility,9,7
Smart Water Utility,10,18
Smart Water Utility,11,10
Smart Water Utility,12,4
Smart Water Utility,13,13
Smart Water Utility,14,11
Smart Water Utility,15,11
Smart Water Utility,16,14
Smart Water Utility,17,18
Smart Water Utility,18,9
Smart Water Utility,19,19
Smart Water Utility,20,18
Smart Water Utility,21,17
Smart Water Utility,22,15
Smart Water Utility,23,11
Smart Water Utility,24,14
Smart Water Utility,25,18
Smart Water Utility,26,19
Smart Water Utility,27,7
Smart Water Utility,28,8
Smart Water Utility,29,11
Smart Water Utility,30,5
Smart Water Utility,31,7
Smart Water Utility,32,5
Smart Water Utility,33,12
Smart Water Utility,34,11
Smart Water Utility,35,12
Smart Water Utility,36,12
Smart Water Utility,37,5
Smart Water Utility,38,20
Smart Water Utility,39,15
Smart Water Utility,40,5
Smart Water Utility,41,8
Smart Water Utility,42,16
Smart Water Utility,43,17
Smart Water Utility,44,21
Smart Water Utility,45,12
Smart Water Utility,46,18
Smart Water Utility,47,18
Smart Water Utility,48,16
Smart Water Utility,49,14
Smart Water Utility,50,13
Smart Water Utility,51,11
Smart Water Utility,52,10
Smart Water Utility,53,10
Smart Water Utility,54,8
Smart Water Utility,55,21
Smart Water Utility,56,21
Smart Water Utility,57,13
Smart Water Utility,58,15
Smart Water Utility,59,5
Smart Water Utility,60,10
Smart Water Utility,61,7
Smart Water Utility,62,17
Smart Water Utility,63,8
Smart Water Utility,64,19
Smart Water Utility,65,5
Smart Water Utility,66,18
Smart Water Utility,67,11
Smart Water Utility,68,8
Smart Water Utility,69,5
Smart Water Utility,70,8
Smart Water Utility,71,12
Smart Water Utility,72,15
Smart Water Utility,73,17
Smart Water Utility,74,10
Smart Water Utility,75,7
Smart Water Utility,76,12
Smart Water Utility,77,5
Smart Water Utility,78,10
Smart Water Utility,79,4
Smart Water Utility,80,11
Smart Water Utility,81,19
Smart Water Utility,82,11
Smart Water Utility,83,17
Smart Water Utility,84,21
Smart Water Utility,85,20
Smart Water Utility,86,9
Smart Water Utility,87,16
Smart Water Utility,88,12
Smart Water Utility,89,15
Smart Water Utility,90,13
Smart Water Utility,91,21
Smart Water Utility,92,18
Data Centers,1,19
Data Centers,2,21
Data Centers,3,20
Data Centers,4,28
Data Centers,5,18
Data Centers,6,8
Data Centers,7,5
Data Centers,8,13
Data Centers,9,6
Data Centers,10,13
Data Centers,11,12
Data Centers,12,7
Data Centers,13,8
Data Centers,14,10
Data Centers,15,23
Data Centers,16,18
Data Centers,17,31
Data Centers,18,4
Data Centers,19,26
Data Centers,20,20
Data Centers,21,6
Data Centers,22,9
Data Centers,23,20
Data Centers,24,30
Data Centers,25,12
Data Centers,26,11
Data Centers,27,7
Data Centers,28,7
Data Centers,29,10
Data Centers,30,4
Data Centers,31,25
Data Centers,32,5
Data Centers,33,21
Data Centers,34,30
Data Centers,35,17
Data Centers,36,16
Data Centers,37,21
Data Centers,38,15
Data Centers,39,4
Data Centers,40,16
Data Centers,41,15
Data Centers,42,9
Data Centers,43,9
Data Centers,44,21
Data Centers,45,9
Data Centers,46,17
Data Centers,47,21
Data Centers,48,5
Data Centers,49,13
Data Centers,50,5
Data Centers,51,16
Data Centers,52,4
Data Centers,53,19
Data Centers,54,9
Data Centers,55,9
Data Centers,56,24
Data Centers,57,28
Data Centers,58,19
Data Centers,59,13
Data Centers,60,8
Data Centers,61,18
Data Centers,62,31
Data Centers,63,6
Data Centers,64,19
Data Centers,65,6
Data Centers,66,11
Data Centers,67,16
Data Centers,68,11
Data Centers,69,9
Data Centers,70,12
Data Centers,71,4
Data Centers,72,9
Data Centers,73,19
Data Centers,74,10
Data Centers,75,21
Data Centers,76,18
Data Centers,77,5
Data Centers,78,11
Data Centers,79,11
Data Centers,80,4
Data Centers,81,34
Data Centers,82,15
Data Centers,83,9
Data Centers,84,19
Data Centers,85,14
Data Centers,86,7
Data Centers,87,23
Data Centers,88,14
Data Centers,89,9
Data Centers,90,9
Data Centers,91,21
Data Centers,92,12
Data Centers,93,15
Data Centers,94,13
Data Centers,95,6
Data Centers,96,8
Hospitals,1,15
Hospitals,2,13
Hospitals,3,10
Hospitals,4,5
Hospitals,5,25
Hospitals,6,15
Hospitals,7,17
Hospitals,8,5
Hospitals,9,12
Hospitals,10,8
Hospitals,11,12
Hospitals,12,4
Hospitals,13,16
Hospitals,14,8
Hospitals,15,11
Hospitals,16,16
Hospitals,17,14
Hospitals,18,6
Hospitals,19,19
Hospitals,20,20
Hospitals,21,17
Hospitals,22,5
Hospitals,23,12
Hospitals,24,11
Hospitals,25,30
Hospitals,26,5
Hospitals,27,10
Hospitals,28,5
Hospitals,29,17
Hospitals,30,9
Hospitals,31,17
Hospitals,32,18
Hospitals,33,4
Hospitals,34,9
Hospitals,35,19
Hospitals,36,14
Hospitals,37,10
Hospitals,38,6
Hospitals,39,16
Hospitals,40,18
Hospitals,41,16
Hospitals,42,35
Hospitals,43,12
Hospitals,44,16
Hospitals,45,15
Hospitals,46,18
Hospitals,47,13
Hospitals,48,8
Hospitals,49,19
Hospitals,50,7
Hospitals,51,5
Hospitals,52,14
Hospitals,53,11
Hospitals,54,10
Hospitals,55,16
Hospitals,56,10
Hospitals,57,11
Hospitals,58,16
Hospitals,59,17
Hospitals,60,6
Hospitals,61,6
Hospitals,62,4
Hospitals,63,4
Hospitals,64,4
Hospitals,65,4
Hospitals,66,5
Hospitals,67,7
Hospitals,68,9
Hospitals,69,22
Hospitals,70,9
Hospitals,71,12
Hospitals,72,12
Hospitals,73,4
Hospitals,74,6
Hospitals,75,7
Hospitals,76,10
Hospitals,77,9
Hospitals,78,20
Hospitals,79,9
Hospitals,80,6
Hospitals,81,12
Hospitals,82,20
Hospitals,83,6
Hospitals,84,11
Hospitals,85,9
Hospitals,86,15
Hospitals,87,19
Hospitals,88,8
Hospitals,89,4
Hospitals,90,10
Hospitals,91,17
Hospitals,92,4
Hospitals,93,37
Hospitals,94,5
Hospitals,95,20
Hospitals,96,8
Hospitals,97,5
Hospitals,98,17
Hospitals,99,19
Hospitals,100,19
Finance,1,18
Finance,2,9
Finance,3,6
Finance,4,12
Finance,5,18
Finance,6,8
Finance,7,20
Finance,8,16
Finance,9,21
Finance,10,18
Finance,11,17
Finance,12,15
Finance,13,18
Finance,14,13
Finance,15,14
Finance,16,16
Finance,17,14
Finance,18,19
Finance,19,11
Finance,20,17
Finance,21,17
Finance,22,19
Finance,23,13
Finance,24,19
Finance,25,5
Finance,26,15
Finance,27,11
Finance,28,16
Finance,29,17
Finance,30,12
Finance,31,13
Finance,32,13
Finance,33,6
Finance,34,17
Finance,35,4
Finance,36,10
Finance,37,10
Finance,38,15
Finance,39,19
Finance,40,20
Finance,41,15
Finance,42,17
Finance,43,21
Finance,44,6
Finance,45,14
Finance,46,19
Finance,47,7
Finance,48,15
Finance,49,9
Finance,50,7
Finance,51,11
Finance,52,4
Finance,53,7
Finance,54,20
Finance,55,11
Finance,56,7
Finance,57,18
Finance,58,14
Finance,59,14
Finance,60,11
Finance,61,14
Finance,62,11
Finance,63,16
Finance,64,7
Finance,65,14
Finance,66,12
Finance,67,10
Finance,68,11
Finance,69,13
Finance,70,10
Finance,71,14
Finance,72,8
Finance,73,20
Finance,74,15
Finance,75,17
Finance,76,11
Finance,77,7
Finance,78,17
Finance,79,11
Finance,80,4
Finance,81,7
Finance,82,16
Finance,83,4
Finance,84,4
Finance,85,7
Finance,86,12
Finance,87,4
Finance,88,4
Finance,89,8
Finance,90,18
Finance,91,5
Finance,92,11
Finance,93,9
Finance,94,14
Finance,95,17
Finance,96,15
Finance,97,10
Logistics,1,9
Logistics,2,10
Logistics,3,4
Logistics,4,19
Logistics,5,9
Logistics,6,7
Logistics,7,24
Logistics,8,4
Logistics,9,12
Logistics,10,16
Logistics,11,14
Logistics,12,4
Logistics,13,13
Logistics,14,18
Logistics,15,14
Logistics,16,20
Logistics,17,16
Logistics,18,20
Logistics,19,20
Logistics,20,10
Logistics,21,5
Logistics,22,6
Logistics,23,17
Logistics,24,13
Logistics,25,16
Logistics,26,5
Logistics,27,7
Logistics,28,17
Logistics,29,5
Logistics,30,10
Logistics,31,15
Logistics,32,4
Logistics,33,16
Logistics,34,19
Logistics,35,12
Logistics,36,18
Logistics,37,17
Logistics,38,4
Logistics,39,4
Logistics,40,12
Logistics,41,6
Logistics,42,16
Logistics,43,5
Logistics,44,17
Logistics,45,17
Logistics,46,13
Logistics,47,15
Logistics,48,33
Logistics,49,6
Logistics,50,11
Logistics,51,20
Logistics,52,14
Logistics,53,12
Logistics,54,11
Logistics,55,16
Logistics,56,28
Logistics,57,6
Logistics,58,20
Logistics,59,6
Logistics,60,11
Logistics,61,14
Logistics,62,20
Logistics,63,18
Logistics,64,16
Logistics,65,11
Logistics,66,24
Logistics,67,15
Logistics,68,9
Logistics,69,14
Logistics,70,17
Logistics,71,13
Logistics,72,8
Logistics,73,12
Logistics,74,5
Logistics,75,25
Logistics,76,10
Logistics,77,8
Logistics,78,6
Logistics,79,30
Logistics,80,19
Logistics,81,21
Logistics,82,16
Logistics,83,24
Logistics,84,12
Logistics,85,9
Logistics,86,8
Logistics,87,14
Logistics,88,19
Logistics,89,16
Logistics,90,29
Logistics,91,25
Logistics,92,41
Logistics,93,10
Public Transit,1,23
Public Transit,2,13
Public Transit,3,21
Public Transit,4,9
Public Transit,5,21
Public Transit,6,12
Public Transit,7,9
Public Transit,8,17
Public Transit,9,5
Public Transit,10,21
Public Transit,11,11
Public Transit,12,7
Public Transit,13,20
Public Transit,14,13
Public Transit,15,13
Public Transit,16,18
Public Transit,17,14
Public Transit,18,29
Public Transit,19,7
Public Transit,20,18
Public Transit,21,16
Public Transit,22,10
Public Transit,23,5
Public Transit,24,17
Public Transit,25,13
Public Transit,26,16
Public Transit,27,8
Public Transit,28,15
Public Transit,29,20
Public Transit,30,13
Public Transit,31,11
Public Transit,32,13
Public Transit,33,16
Public Transit,34,8
Public Transit,35,12
Public Transit,36,8
Public Transit,37,17
Public Transit,38,6
Public Transit,39,16
Public Transit,40,5
Public Transit,41,18
Public Transit,42,8
Public Transit,43,16
Public Transit,44,16
Public Transit,45,16
Public Transit,46,17
Public Transit,47,8
Public Transit,48,12
Public Transit,49,11
Public Transit,50,29
Public Transit,51,5
Public Transit,52,8
Public Transit,53,11
Public Transit,54,18
Public Transit,55,18
Public Transit,56,19
Public Transit,57,16
Public Transit,58,16
Public Transit,59,20
Public Transit,60,20
Public Transit,61,18
Public Transit,62,12
Public Transit,63,6
Public Transit,64,17
Public Transit,65,21
Public Transit,66,17
Public Transit,67,19
Public Transit,68,11
Public Transit,69,18
Public Transit,70,31
Public Transit,71,20
Public Transit,72,6
Public Transit,73,12
Public Transit,74,6
Public Transit,75,7
Public Transit,76,4
Public Transit,77,10
Public Transit,78,6
Public Transit,79,5
Public Transit,80,12
Public Transit,81,30
Public Transit,82,37
Public Transit,83,9
Public Transit,84,10
Public Transit,85,17
Public Transit,86,14
Public Transit,87,17
Public Transit,88,16
Public Transit,89,15
Public Transit,90,21
Public Transit,91,8
Public Transit,92,12
Public Transit,93,5
Public Transit,94,6
Public Transit,95,4
Public Transit,96,11
Public Transit,97,20
Smart Manufacturing,1,19
Smart Manufacturing,2,10
Smart Manufacturing,3,14
Smart Manufacturing,4,20
Smart Manufacturing,5,5
Smart Manufacturing,6,18
Smart Manufacturing,7,19
Smart Manufacturing,8,4
Smart Manufacturing,9,20
Smart Manufacturing,10,4
Smart Manufacturing,11,12
Smart Manufacturing,12,7
Smart Manufacturing,13,4
Smart Manufacturing,14,9
Smart Manufacturing,15,12
Smart Manufacturing,16,9
Smart Manufacturing,17,16
Smart Manufacturing,18,8
Smart Manufacturing,19,9
Smart Manufacturing,20,20
Smart Manufacturing,21,5
Smart Manufacturing,22,19
Smart Manufacturing,23,14
Smart Manufacturing,24,21
Smart Manufacturing,25,19
Smart Manufacturing,26,13
Smart Manufacturing,27,13
Smart Manufacturing,28,14
Smart Manufacturing,29,32
Smart Manufacturing,30,26
Smart Manufacturing,31,29
Smart Manufacturing,32,13
Smart Manufacturing,33,9
Smart Manufacturing,34,13
Smart Manufacturing,35,16
Smart Manufacturing,36,9
Smart Manufacturing,37,15
Smart Manufacturing,38,16
Smart Manufacturing,39,20
Smart Manufacturing,40,11
Smart Manufacturing,41,16
Smart Manufacturing,42,19
Smart Manufacturing,43,19
Smart Manufacturing,44,9
Smart Manufacturing,45,19
Smart Manufacturing,46,4
Smart Manufacturing,47,19
Smart Manufacturing,48,11
Smart Manufacturing,49,30
Smart Manufacturing,50,7
Smart Manufacturing,51,34
Smart Manufacturing,52,9
Smart Manufacturing,53,8
Smart Manufacturing,54,8
Smart Manufacturing,55,13
Smart Manufacturing,56,10
Smart Manufacturing,57,20
Smart Manufacturing,58,15
Smart Manufacturing,59,9
Smart Manufacturing,60,9
Smart Manufacturing,61,7
Smart Manufacturing,62,10
Smart Manufacturing,63,5
Smart Manufacturing,64,15
Smart Manufacturing,65,8
Smart Manufacturing,66,7
Smart Manufacturing,67,8
Smart Manufacturing,68,11
Smart Manufacturing,69,4
Smart Manufacturing,70,17
Smart Manufacturing,71,6
Smart Manufacturing,72,19
Smart Manufacturing,73,19
Smart Manufacturing,74,13
Smart Manufacturing,75,20
Smart Manufacturing,76,19
Smart Manufacturing,77,4
Smart Manufacturing,78,20
Smart Manufacturing,79,16
Smart Manufacturing,80,12
Smart Manufacturing,81,4
Smart Manufacturing,82,20
Smart Manufacturing,83,10
Smart Manufacturing,84,9
Smart Manufacturing,85,6
Smart Manufacturing,86,4
Smart Manufacturing,87,8
Smart Manufacturing,88,17
Smart Manufacturing,89,8
Smart Manufacturing,90,9
Smart Manufacturing,91,14
Smart Manufacturing,92,21
Smart Manufacturing,93,12
Smart Manufacturing,94,14
Smart Manufacturing,95,18
Emergency Services,1,10
Emergency Services,2,11
Emergency Services,3,17
Emergency Services,4,16
Emergency Services,5,16
Emergency Services,6,17
Emergency Services,7,13
Emergency Services,8,7
Emergency Services,9,20
Emergency Services,10,16
Emergency Services,11,11
Emergency Services,12,13
Emergency Services,13,19
Emergency Services,14,18
Emergency Services,15,21
Emergency Services,16,8
Emergency Services,17,6
Emergency Services,18,21
Emergency Services,19,11
Emergency Services,20,7
Emergency Services,21,17
Emergency Services,22,10
Emergency Services,23,7
Emergency Services,24,4
Emergency Services,25,9
Emergency Services,26,20
Emergency Services,27,8
Emergency Services,28,6
Emergency Services,29,19
Emergency Services,30,12
Emergency Services,31,35
Emergency Services,32,12
Emergency Services,33,13
Emergency Services,34,19
Emergency Services,35,4
Emergency Services,36,11
Emergency Services,37,11
Emergency Services,38,5
Emergency Services,39,7
Emergency Services,40,15
Emergency Services,41,10
Emergency Services,42,6
Emergency Services,43,20
Emergency Services,44,4
Emergency Services,45,9
Emergency Services,46,13
Emergency Services,47,8
Emergency Services,48,13
Emergency Services,49,17
Emergency Services,50,23
Emergency Services,51,13
Emergency Services,52,17
Emergency Services,53,5
Emergency Services,54,8
Emergency Services,55,5
Emergency Services,56,8
Emergency Services,57,5
Emergency Services,58,7
Emergency Services,59,6
Emergency Services,60,14
Emergency Services,61,6
Emergency Services,62,9
Emergency Services,63,13
Emergency Services,64,14
Emergency Services,65,7
Emergency Services,66,19
Emergency Services,67,6
Emergency Services,68,13
Emergency Services,69,16
Emergency Services,70,8
Emergency Services,71,6
Emergency Services,72,4
Emergency Services,73,8
Emergency Services,74,7
Emergency Services,75,9
Emergency Services,76,8
Emergency Services,77,8
Emergency Services,78,9
Emergency Services,79,8
Emergency Services,80,16
Emergency Services,81,21
Emergency Services,82,18
Emergency Services,83,18
Emergency Services,84,6
Emergency Services,85,15
Emergency Services,86,10
Emergency Services,87,21
Emergency Services,88,10
Emergency Services,89,10
Emergency Services,90,18
Emergency Services,91,5
Emergency Services,92,5
Emergency Services,93,8
Emergency Services,94,4
Emergency Services,95,14
Media,1,23
Media,2,18
Media,3,23
Media,4,22
Media,5,12
Media,6,20
Media,7,16
Media,8,29
Media,9,10
Media,10,18
Media,11,21
Media,12,19
Media,13,12
Media,14,22
Media,15,17
Media,16,23
Media,17,50
Media,18,9
Media,19,24
Media,20,27
Media,21,21
Media,22,17
Media,23,24
Media,24,19
Media,25,9
Media,26,22
Media,27,25
Media,28,25
Media,29,16
Media,30,29
Media,31,9
Media,32,25
Media,33,36
Media,34,20
Media,35,25
Media,36,18
Media,37,8
Media,38,30
Media,39,20
Media,40,15
Media,41,22
Media,42,8
Media,43,17
Media,44,32
Media,45,35
Media,46,14
Media,47,15
Media,48,32
Media,49,9
Media,50,19
Media,51,19
Media,52,31
Media,53,21
Media,54,19
Media,55,28
Media,56,19
Media,57,11
Media,58,26
Media,59,34
Media,60,17
Media,61,19
Media,62,31
Media,63,14
Media,64,22
Media,65,24
Media,66,15
Media,67,15
Media,68,8
Media,69,18
Media,70,22
Media,71,16
Media,72,17
Media,73,15
Media,74,15
Media,75,19
Media,76,8
Media,77,19
Media,78,22
Media,79,14
Media,80,28
Media,81,33
Media,82,16
Media,83,31
Media,84,12
Media,85,35
Media,86,27
Media,87,14
Media,88,22
Media,89,9
Media,90,19
Government Portals,1,23
Government Portals,2,20
Government Portals,3,26
Government Portals,4,20
Government Portals,5,20
Government Portals,6,16
Government Portals,7,16
Government Portals,8,24
Government Portals,9,9
Government Portals,10,25
Government Portals,11,18
Government Portals,12,10
Government Portals,13,18
Government Portals,14,18
Government Portals,15,18
Government Portals,16,18
Government Portals,17,31
Government Portals,18,21
Government Portals,19,23
Government Portals,20,22
Government Portals,21,13
Government Portals,22,20
Government Portals,23,21
Government Portals,24,32
Government Portals,25,17
Government Portals,26,19
Government Portals,27,23
Government Portals,28,17
Government Portals,29,29
Government Portals,30,22
Government Portals,31,19
Government Portals,32,11
Government Portals,33,31
Government Portals,34,26
Government Portals,35,28
Government Portals,36,25
Government Portals,37,12
Government Portals,38,27
Government Portals,39,22
Government Portals,40,23
Government Portals,41,18
Government Portals,42,7
Government Portals,43,12
Government Portals,44,18
Government Portals,45,35
Government Portals,46,31
Government Portals,47,16
Government Portals,48,28
Government Portals,49,14
Government Portals,50,24
Government Portals,51,12
Government Portals,52,31
Government Portals,53,12
Government Portals,54,28
Government Portals,55,16
Government Portals,56,30
Government Portals,57,20
Government Portals,58,18
Government Portals,59,11
Government Portals,60,37
Government Portals,61,25
Government Portals,62,13
Government Portals,63,24
Government Portals,64,18
Government Portals,65,10
Government Portals,66,19
Government Portals,67,21
Government Portals,68,12
Government Portals,69,15
Government Portals,70,20
Government Portals,71,12
Government Portals,72,27
Government Portals,73,29
Government Portals,74,22
Government Portals,75,9
Government Portals,76,20
Government Portals,77,21
Government Portals,78,22
Government Portals,79,19
Government Portals,80,20
Government Portals,81,32
Government Portals,82,33
Government Portals,83,29
Government Portals,84,34
Government Portals,85,19
Government Portals,86,24
Government Portals,87,23
Government Portals,88,26
Government Portals,89,31
Government Portals,90,18
Government Portals,91,15
Government Portals,92,41
Government Portals,93,18
Food Supply Chain,1,5
Food Supply Chain,2,4
Food Supply Chain,3,7
Food Supply Chain,4,17
Food Supply Chain,5,6
Food Supply Chain,6,12
Food Supply Chain,7,11
Food Supply Chain,8,8
Food Supply Chain,9,20
Food Supply Chain,10,11
Food Supply Chain,11,14
Food Supply Chain,12,20
Food Supply Chain,13,5
Food Supply Chain,14,9
Food Supply Chain,15,9
Food Supply Chain,16,17
Food Supply Chain,17,21
Food Supply Chain,18,16
Food Supply Chain,19,20
Food Supply Chain,20,11
Food Supply Chain,21,9
Food Supply Chain,22,10
Food Supply Chain,23,9
Food Supply Chain,24,4
Food Supply Chain,25,26
Food Supply Chain,26,20
Food Supply Chain,27,19
Food Supply Chain,28,7
Food Supply Chain,29,13
Food Supply Chain,30,10
Food Supply Chain,31,5
Food Supply Chain,32,21
Food Supply Chain,33,12
Food Supply Chain,34,18
Food Supply Chain,35,18
Food Supply Chain,36,12
Food Supply Chain,37,9
Food Supply Chain,38,18
Food Supply Chain,39,8
Food Supply Chain,40,5
Food Supply Chain,41,28
Food Supply Chain,42,6
Food Supply Chain,43,14
Food Supply Chain,44,14
Food Supply Chain,45,20
Food Supply Chain,46,4
Food Supply Chain,47,11
Food Supply Chain,48,8
Food Supply Chain,49,15
Food Supply Chain,50,13
Food Supply Chain,51,14
Food Supply Chain,52,15
Food Supply Chain,53,12
Food Supply Chain,54,20
Food Supply Chain,55,10
Food Supply Chain,56,9
Food Supply Chain,57,4
Food Supply Chain,58,29
Food Supply Chain,59,5
Food Supply Chain,60,11
Food Supply Chain,61,7
Food Supply Chain,62,8
Food Supply Chain,63,21
Food Supply Chain,64,18
Food Supply Chain,65,12
Food Supply Chain,66,12
Food Supply Chain,67,5
Food Supply Chain,68,11
Food Supply Chain,69,21
Food Supply Chain,70,22
Food Supply Chain,71,21
Food Supply Chain,72,8
Food Supply Chain,73,28
Food Supply Chain,74,9
Food Supply Chain,75,4
Food Supply Chain,76,16
Food Supply Chain,77,22
Food Supply Chain,78,24
Food Supply Chain,79,9
Food Supply Chain,80,11
Food Supply Chain,81,16
Food Supply Chain,82,20
Food Supply Chain,83,8
Food Supply Chain,84,17
Food Supply Chain,85,13
Food Supply Chain,86,21
Food Supply Chain,87,21
Food Supply Chain,88,10
Food Supply Chain,89,4
Food Supply Chain,90,15
Food Supply Chain,91,9
Food Supply Chain,92,11
Food Supply Chain,93,11
Food Supply Chain,94,5
Food Supply Chain,95,21
Food Supply Chain,96,22
Food Supply Chain,97,21
Food Supply Chain,98,4
Food Supply Chain,99,9
Food Supply Chain,100,20
